sampleID	Site_full	longitude	latitude	Collectionsite	location	sampleTypes
JS.T7	江苏省南京市栖霞区银茂铅锌矿尾矿	118.9583117	32.16564667	JS	JS_YM_Tail	Tailing
JS.T9	江苏省南京市栖霞区银茂铅锌矿尾矿	118.9583117	32.16564667	JS	JS_YM_Tail	Tailing
JX.T10	江西省赣州市于都县银坑镇银铅锌矿尾矿	115.6382683	26.21894667	JX	JX_YK_Tail	Tailing
JX.T15	江西省上饶市永平铜矿尾矿	117.70903	28.20952833	JX	JX_YP_Tail	Tailing
JX.T17	江西省上饶市永平铜矿尾矿	117.70903	28.20952833	JX	JX_YP_Tail	Tailing
JX.T19	江西省上饶市永平铜矿尾矿	117.70903	28.20952833	JX	JX_YP_Tail	Tailing
JX.T26	江西省上饶市德兴铜矿尾矿	117.7240833	29.002485	JX	JX_DX_Tail	Tailing
JX.T27	江西省上饶市德兴铜矿尾矿	117.7240833	29.002485	JX	JX_DX_Tail	Tailing
JX.T28	江西省上饶市德兴铜矿尾矿	117.7240833	29.002485	JX	JX_DX_Tail	Tailing
JX.T35	江西省九江市城门山铜矿尾矿	115.8266717	29.68796833	JX	JX_CMS_Tail	Tailing
JX.T37	江西省九江市城门山铜矿尾矿	115.8266717	29.68796833	JX	JX_CMS_Tail	Tailing
JX.T39	江西省九江市城门山铜矿尾矿	115.8266717	29.68796833	JX	JX_CMS_Tail	Tailing
JX.T45	江西省瑞昌市武山铜矿尾矿	115.6555567	29.749905	JX	JX_WS_Tail	Tailing
JX.T47	江西省瑞昌市武山铜矿尾矿	115.6555567	29.749905	JX	JX_WS_Tail	Tailing
JX.T5	江西省赣州市于都县银坑镇银铅锌矿尾矿	115.6382683	26.21894667	JX	JX_YK_Tail	Tailing
JX.T50	江西省瑞昌市武山铜矿尾矿	115.6555567	29.749905	JX	JX_WS_Tail	Tailing
JX.T7	江西省赣州市于都县银坑镇银铅锌矿尾矿	115.6382683	26.21894667	JX	JX_YK_Tail	Tailing
LN.T10	辽宁新盛矿业有限公司青城子镇铅锌矿尾矿库	123.58344	40.71797	LN	LN_QCZ_Tail	Tailing
LN.T6	辽宁新盛矿业有限公司青城子镇铅锌矿尾矿库	123.58344	40.71797	LN	LN_QCZ_Tail	Tailing
LN.T8	辽宁新盛矿业有限公司青城子镇铅锌矿尾矿库	123.58344	40.71797	LN	LN_QCZ_Tail	Tailing
NM.T16	内蒙古锡林浩特市毛登鲁地矿业锌锡多金属矿尾矿库	116.5500433	44.19548333	NM	NM_LD_Tail	Tailing
NM.T18	内蒙古锡林浩特市毛登鲁地矿业锌锡多金属矿尾矿库	116.5500433	44.19548333	NM	NM_LD_Tail	Tailing
NM.T20	内蒙古锡林浩特市毛登鲁地矿业锌锡多金属矿尾矿库	116.5500433	44.19548333	NM	NM_LD_Tail	Tailing
NM.T26	内蒙古巴彦淖尔市乌拉特后旗东升庙东矿公司善代沟尾矿库	107.0452567	41.09751167	NM	NM_BYNE_DK_Tail	Tailing
NM.T28	内蒙古巴彦淖尔市乌拉特后旗东升庙东矿公司善代沟尾矿库	107.0452567	41.09751167	NM	NM_BYNE_DK_Tail	Tailing
NM.T30	内蒙古巴彦淖尔市乌拉特后旗东升庙东矿公司善代沟尾矿库	107.0452567	41.09751167	NM	NM_BYNE_DK_Tail	Tailing
NM.T35	内蒙古巴彦淖尔市乌拉特后旗紫金矿业有限公司三贵口铅锌矿尾矿库	107.080975	41.15875333	NM	NM_BYNE_ZJ_Tail	Tailing
NM.T38	内蒙古巴彦淖尔市乌拉特后旗紫金矿业有限公司三贵口铅锌矿尾矿库	107.080975	41.15875333	NM	NM_BYNE_ZJ_Tail	Tailing
NM.T40	内蒙古巴彦淖尔市乌拉特后旗紫金矿业有限公司三贵口铅锌矿尾矿库	107.080975	41.15875333	NM	NM_BYNE_ZJ_Tail	Tailing
NM.T7	内蒙古赤峰市白音诺尔铅锌矿尾矿库	118.9342017	44.44348167	NM	NM_BY_Tail	Tailing
NM.T8	内蒙古赤峰市白音诺尔铅锌矿尾矿库	118.9342017	44.44348167	NM	NM_BY_Tail	Tailing
NM.T9	内蒙古赤峰市白音诺尔铅锌矿尾矿库	118.9342017	44.44348167	NM	NM_BY_Tail	Tailing
QH.T10	青海省海南藏族自治州兴海县赛什塘铜矿尾矿	99.80896333	35.32498	QH	QH_SST_Tail	Tailing
QH.T12	青海省柴达木盆地北缘锡铁山铅锌矿尾矿	95.55557167	37.29191333	QH	QH_XTS_Tail	Tailing
QH.T14	青海省柴达木盆地北缘锡铁山铅锌矿尾矿	95.55557167	37.29191333	QH	QH_XTS_Tail	Tailing
QH.T17	青海省柴达木盆地北缘锡铁山铅锌矿尾矿	95.55557167	37.29191333	QH	QH_XTS_Tail	Tailing
QH.T7	青海省海南藏族自治州兴海县赛什塘铜矿尾矿	99.80896333	35.32498	QH	QH_SST_Tail	Tailing
QH.T9	青海省海南藏族自治州兴海县赛什塘铜矿尾矿	99.80896333	35.32498	QH	QH_SST_Tail	Tailing
SC.T10	四川省甘孜白玉县呷村铅锌矿尾矿	99.56885833	31.17411167	SC	SC_XC_Tail	Tailing
SC.T5	四川省甘孜白玉县呷村铅锌矿尾矿	99.56885833	31.17411167	SC	SC_XC_Tail	Tailing
SC.T7	四川省甘孜白玉县呷村铅锌矿尾矿	99.56885833	31.17411167	SC	SC_XC_Tail	Tailing
XJ.T10	新疆哈密土屋铜矿尾矿旁	92.65053167	42.12512833	XJ	XJ_TW_Tail	Tailing
XJ.T15	新疆富蕴县乔夏哈拉金铜矿尾矿库尾矿	89.669495	46.81069333	XJ	XJ_QXHL_Tail	Tailing
XJ.T17	新疆富蕴县乔夏哈拉金铜矿尾矿库尾矿	89.669495	46.81069333	XJ	XJ_QXHL_Tail	Tailing
XJ.T19	新疆富蕴县乔夏哈拉金铜矿尾矿库尾矿	89.669495	46.81069333	XJ	XJ_QXHL_Tail	Tailing
XJ.T27	 新疆阿舍勒铜矿尾矿旁	86.32963167	48.26487167	XJ	XJ_ASL_Tail	Tailing
XJ.T28	 新疆阿舍勒铜矿尾矿旁	86.32963167	48.26487167	XJ	XJ_ASL_Tail	Tailing
XJ.T29	 新疆阿舍勒铜矿尾矿旁	86.32963167	48.26487167	XJ	XJ_ASL_Tail	Tailing
XJ.T35	新疆可可托海有色金属矿	89.79894	47.19372167	XJ	XJ_KKTH_Tail	Tailing
XJ.T37	新疆可可托海有色金属矿	89.79894	47.19372167	XJ	XJ_KKTH_Tail	Tailing
XJ.T39	新疆可可托海有色金属矿	89.79894	47.19372167	XJ	XJ_KKTH_Tail	Tailing
XJ.T5	新疆哈密土屋铜矿尾矿旁	92.65053167	42.12512833	XJ	XJ_TW_Tail	Tailing
XJ.T6	新疆哈密土屋铜矿尾矿旁	92.65053167	42.12512833	XJ	XJ_TW_Tail	Tailing
YN.T10	云南易门县狮子山铜矿尾矿	102.0316867	24.88304	YN	YN_SZS_Tail	Tailing
YN.T15	云南省昆明市东川区汤丹铜矿尾矿	103.10089	26.19227167	YN	YN_TD_Tail	Tailing
YN.T17	云南省昆明市东川区汤丹铜矿尾矿	103.10089	26.19227167	YN	YN_TD_Tail	Tailing
YN.T20	云南省昆明市东川区汤丹铜矿尾矿	103.10089	26.19227167	YN	YN_TD_Tail	Tailing
YN.T25	云南省曲靖市会泽铅锌矿尾矿	103.7235033	26.64356167	YN	YN_HZ_Tail	Tailing
YN.T27	云南省曲靖市会泽铅锌矿尾矿	103.7235033	26.64356167	YN	YN_HZ_Tail	Tailing
YN.T30	云南省曲靖市会泽铅锌矿尾矿	103.7235033	26.64356167	YN	YN_HZ_Tail	Tailing
YN.T35	云南省怒江州兰坪铅锌矿尾矿	99.38822	26.39426167	YN	YN_LP_Tail	Tailing
YN.T37	云南省怒江州兰坪铅锌矿尾矿	99.38822	26.39426167	YN	YN_LP_Tail	Tailing
YN.T39	云南省怒江州兰坪铅锌矿尾矿	99.38822	26.39426167	YN	YN_LP_Tail	Tailing
YN.T5	云南易门县狮子山铜矿尾矿	102.0316867	24.88304	YN	YN_SZS_Tail	Tailing
YN.T7	云南易门县狮子山铜矿尾矿	102.0316867	24.88304	YN	YN_SZS_Tail	Tailing
YQ.T10	山西运城垣曲中条山基地北方铜业铜矿峪矿十八河尾矿库尾矿	111.6511283	35.261405	SX	SX_YQ_Tail	Tailing
YQ.T8	山西运城垣曲中条山基地北方铜业铜矿峪矿十八河尾矿库尾矿	111.6511283	35.261405	SX	SX_YQ_Tail	Tailing
YQ.T9	山西运城垣曲中条山基地北方铜业铜矿峪矿十八河尾矿库尾矿	111.6511283	35.261405	SX	SX_YQ_Tail	Tailing
ZJ.T7	浙江省杭州市富阳上俞铅锌厂尾矿	119.8209667	30.11114333	ZJ	ZJ_FY_Tail	Tailing
